Kecamatan,Nama Toko,Alamat,Rating
"Tanah Abang, Jakarta Pusat",Toko Bangunan Batu Raden,"Jl. K.H. Mas Mansyur, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.2
"Tanah Abang, Jakarta Pusat","Toko Bangunan Cahaya Bangun Mandiri - Tn Abang - (Besi, Kayu, Gypsum, Semen dan Bahan Bangunan)","Jl. K.H. Mas Mansyur No.53, Kb. Melati, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10230, Indonesia",4.7
"Tanah Abang, Jakarta Pusat",TB. Winar Jaya,"Jl. Kb. Kacang 9 No.51 11, RT.11/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.5
"Tanah Abang, Jakarta Pusat",Tb. Sinar,"Jl. K.S. Tubun No.95 1, RT.1/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",4.4
"Tanah Abang, Jakarta Pusat",Sinar Terang. UD,"Jl. Petamburan III No.7 4, RT.4/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260, Indonesia",4.5
"Tanah Abang, Jakarta Pusat",Sinar Agung Material,"Jl. Bendungan Hilir No.72A, RT.5/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210, Indonesia",4.5
"Tanah Abang, Jakarta Pusat",Tb. Bagus,"Jl. Kb. Kacang 1 No.54, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240, Indonesia",4.5
"Tanah Abang, Jakarta Pusat",Toko Bahan Bangunan Dan Alat-Alat Listrik H.Sukrie,"Jl. Kebon Pala 9 No.6, RT.6/RW.16, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, Indonesia",4.9
"Cilincing, Jakarta Utara",Tb Semper Jaya,"Jl. Tipar Cakung No.5, RT.1/RW.1, Semper Bar., Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",4.6
"Cilincing, Jakarta Utara",TB. Sinar Karya,"Jl. Kesatriaan Raya No.9, RT.6/RW.8, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120, Indonesia",4.6
