Kecamatan,Nama Toko,Alamat,Rating
"Pancoran, Jakarta Selatan",TB. Tunas Baru,"5, Jl. Kalibata Tengah No No.7AB 5, RT.5/RW.3, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia",4.6
"Pasar Minggu, Jakarta Selatan",TB. Bangun Jaya,"Jl. Raya Pasar Minggu No.43, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia",4.3
"Pasar Minggu, Jakarta Selatan",TB Bangun Jaya,"Jl. H. Amil No.25, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",0.0
"Pasar Minggu, Jakarta Selatan",TB Sinar Jaya Salihara,"Jl. Salihara No.6a, RT.3/RW.1, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540, Indonesia",4.5
"Pasar Minggu, Jakarta Selatan",Central Buana Bangunan,"Jl. Pejaten Raya No.33, RT.8/RW.10, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia",4.8
"Pasar Minggu, Jakarta Selatan",Toko Thalia,"Jl. Raya Pasar Minggu No.31, RT.6/RW.1, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",4.6
"Pasar Minggu, Jakarta Selatan",Tb. Surya Jaya,"Jl. Holtikultura Jl. Jati Raya No.47, RT.15/RW.6, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",4.2
"Pasar Minggu, Jakarta Selatan",Jaya Murni,"Jl. Raya Pasar Minggu No.9A, RT.6/RW.1, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",4.4
"Pasar Minggu, Jakarta Selatan",Toko Bina Usaha,"Jl. Aup No.60 6, RT.6/RW.10, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",4.5
"Pesanggrahan, Jakarta Selatan",TB. Istana Bangunan,"Jl. Garuda No.27, RT.5/RW.6, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320, Indonesia",4.5
"Pesanggrahan, Jakarta Selatan",Toko Cat Dan Bangunan Sumber Rejeki petukangan utara Y.Y.Y,"4, Jl. Palem V No.1B, RT.4/RW.8, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260, Indonesia",4.8
"Pesanggrahan, Jakarta Selatan",Toko Bangunan Permai Lestari,"Jl. Bintaro Permai II No.17, RT.7/RW.9, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia",4.6
"Pesanggrahan, Jakarta Selatan",TB. Sinar Indah,"Jl. RC. Veteran Raya No.1, RT.9/RW.3, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia",4.3
"Pesanggrahan, Jakarta Selatan",TB. Bintaro Jaya,"Jl. Ciledug Raya No.61, RT.1/RW.4, Petukangan Sel., Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270, Indonesia",4.5
"Pesanggrahan, Jakarta Selatan",Mitra10 Pesanggrahan,"Jl. Pesanggrahan No.1, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",4.4
"Pesanggrahan, Jakarta Selatan",TB.Sumber Jaya,"NO WA O&I54O54249, Jl. Perumahan Pusri No.17, RT.5/RW.6, Petukangan Utara, Jl. Palem Raya, RT.5/RW.6, Petukangan Sel., Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260, Indonesia",4.0
"Pesanggrahan, Jakarta Selatan",TB SINAR JAYA PERTUKANGAN,"Jl. H. Muchtar Raya No.80 B 10, RT.10/RW.1, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260, Indonesia",4.6
"Setiabudi, Jakarta Selatan",Toko Alam Makmur,"Jl. Karbela Barat Jl. Karet Belakang Raya No.7, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, Indonesia",4.7
"Setiabudi, Jakarta Selatan",TB.Dd Bangunan,"Jl. Anggrek I No.22, RT.10/RW.1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",4.7
"Setiabudi, Jakarta Selatan",Toko Bangunan Sederhana,"Jalan. Lantai Jl. Guntur No.2 8, RT.8/RW.1, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970, Indonesia",4.9
"Setiabudi, Jakarta Selatan",TB DD BANGUNAN 3,"Jl. Q No.40, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, Indonesia",4.9
"Setiabudi, Jakarta Selatan",TB BERUANG,"Jl. Gembira No.5, RT.1/RW.6, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980, Indonesia",4.7
"Setiabudi, Jakarta Selatan",TB. Aneka Jaya Makmur,"Jl. Karet Belakang Raya, RT.10/RW.2, Kuningan, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",4.3
"Setiabudi, Jakarta Selatan",TB. Sinar Pedurenan,"Jl. Pedurenan Mesjid Raya No.72 9, RT.9/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",3.6
"Setiabudi, Jakarta Selatan",Tb. Roda Mas,"Jl. Muria, RT.9/RW.5, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960, Indonesia",4.6
"Tebet, Jakarta Selatan",Toko Bahan Bangunan Sinar Abadi,"Jl. Asem Baris Raya No.321, RT.4/RW.12, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830, Indonesia",4.8
"Tebet, Jakarta Selatan",TB Karya Bangun,"Jl. Sawo Kecil 6 No.49, RT.7/RW.7, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12840, Indonesia",4.7
"Tebet, Jakarta Selatan",Jaya Lestari 4,"1, Jl. Balimatraman No.2, RT.1/RW.5, Manggarai Sel., Kec. Tebet, Jakarta, Daerah Khusus Ibukota Jakarta 12870, Indonesia",4.5
"Tebet, Jakarta Selatan",Tb. Tunas Karya Tebet,"Jl. KH Abdullah Syafei No.18 4, RT.1/RW.1, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia",4.6
"Tebet, Jakarta Selatan",Tb. Sukabumi,"Jl. Tebet Barat Dalam Raya No.72, RT.17/RW.6, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia",4.4
"Tebet, Jakarta Selatan",Toko Bangunan Ubin Singa,"Jl. Tebet Barat Raya No.10 5, RT.3/RW.7, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia",4.1
"Tebet, Jakarta Selatan",TB.Sinar Indah,"Jl. Tebet Timur Raya No.2 9, RT.9/RW.4, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820, Indonesia",4.4
"Tebet, Jakarta Selatan",TB. Jaya Lestari,"Jl. Persada I No.1, RT.6/RW.15, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia",4.8
"Cakung, Jakarta Timur",TB. Cahaya maju,"Jl. Raya Kayu Tinggi No.36, RT.1/RW.12, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960, Indonesia",4.5
"Cakung, Jakarta Timur",Tb.Cahaya Baru,"1, Jl. Balai Rakyat No.89, RT.1/RW.4, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910, Indonesia",4.6
"Cakung, Jakarta Timur",Harapan Makmur,"pulo gebang permai rt.01/04 no:10, RT.13/RW.4, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950, Indonesia",4.4
"Cakung, Jakarta Timur",TB. Cahaya Maju II,"Jl. Balai Rakyat No.35, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960, Indonesia",4.8
"Cakung, Jakarta Timur",Toko Bangunan Anugerah,"Jl. Tipar Cakung No.77, RT.15/RW.7, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910, Indonesia",4.5
"Cakung, Jakarta Timur",TB. Cahaya Maju,"Ruko Wisteria Collins 1-28, RT.1/RW.8, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960, Indonesia",4.9
"Cakung, Jakarta Timur",MATRIAL BANGUNAN PD. SEDERHANA JAYA,"Jl. Raya Penggilingan No.3, RT.5/RW.11, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940, Indonesia",4.4
"Cakung, Jakarta Timur",Tb. Murah & Baik,"Jl. Raya Bekasi No.KM.25 No.14, RT.1/RW.1, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910, Indonesia",4.7
"Cipayung, Jakarta Timur",TB. Sinar Makmur,"No., Jl. Setu Cipayung No.18, RT.9/RW.7, Cilangkap, Cipayung, Jakarta Timur, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840, Indonesia",4.6
"Cipayung, Jakarta Timur",TB Raja Bangunan,"Jl. Setu Cipayung No.15A 7, RT.7/RW.4, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870, Indonesia",4.3
"Cipayung, Jakarta Timur",TB. CIPAYUNG MAKMUR,"Jl. Masjid Nurul Hidayah No.4, RT.6/RW.6, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840, Indonesia",0.0
"Cipayung, Jakarta Timur",Toko Sumber Makmur,"Jl. Raya Cilangkap No.29 1, RT.1/RW.5, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870, Indonesia",4.7
"Cipayung, Jakarta Timur",Kurnia Jaya Toko,"Jalan Cipayung Raya No.9 10, RT.10/RW.1, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840, Indonesia",4.5
"Cipayung, Jakarta Timur",SUKSES JAYA,"Jl. Mandor Munding No.22 4, RT.4/RW.1, Setu, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13880, Indonesia",4.6
"Cipayung, Jakarta Timur",TB Makmur Jaya ( +Paint/ Cat store ),"12, Jl. Gempol Raya No.26, RT.12/RW.2, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia",4.5
"Cipayung, Jakarta Timur",TB.Sinar Abadi,"Jl. Gempol Raya No.1 10, RT.10/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13890, Indonesia",4.5
"Ciracas, Jakarta Timur",Toko Material Maju Makmur,"Jl. Raya Ciracas No.4, RT.11/RW.7, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740, Indonesia",4.9
"Ciracas, Jakarta Timur",TB Surya Agung,"Jl. Raya Pkp No.3, RT.3/RW.9, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",4.9
"Ciracas, Jakarta Timur",Kemboja Material Store,"Jl. Raya Ciracas No.70 11, RT.11/RW.2, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740, Indonesia",4.6
"Ciracas, Jakarta Timur",TB. Makmur Indah,"Jl. Raya Pkp Jl. Cibubur I No.8, RT.1/RW.12, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",4.7
"Ciracas, Jakarta Timur",TB. LAMUNSA JAYA,"Jl. Suci No.1B 2, RT.2/RW.7, Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750, Indonesia",4.7
"Ciracas, Jakarta Timur",TB. NASIONAL,"Jl. Raya Ciracas No.8, RT.5/RW.6, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",4.9
"Ciracas, Jakarta Timur",TB TERUS JAYA,"Jl. Raya Klp. Dua Wetan No.61 1, RT.2/RW.8, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",4.7
"Ciracas, Jakarta Timur",Toko Bahan Bangunan Merdeka Jaya,"Jl. Tanah Merdeka X No.05, RT.8/RW.4, Rambutan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13830, Indonesia",4.8
"Duren Sawit, Jakarta Timur",Material H SHIMBAN 2,"4, Jl. KH. Maisin No.4, RT.7/RW.16, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470, Indonesia",4.5
"Duren Sawit, Jakarta Timur",TB. BERKAT MAKMUR,"Jl. Masjid Abidin No.24, RT.8/RW.6, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430, Indonesia",4.6
"Duren Sawit, Jakarta Timur",Aneka Jaya. TB,"Jl. Perumnas Raya No.30, RT.9/RW.2, Malaka Sari, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460, Indonesia",4.9
"Duren Sawit, Jakarta Timur",Depo Bangunan Kalimalang,"Jl. Raya Kalimalang No.46, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440, Indonesia",4.4
"Duren Sawit, Jakarta Timur",Toko Bangunan Sinar Jaya Delima,"JL Delima Raya, Blok VI, No. 1, Klender, Jl. Perumnas Raya No.7, RT.6/RW.3, Malaka Sari, Durensawit, East Jakarta City, Jakarta 13460, Indonesia",4.7
"Duren Sawit, Jakarta Timur",TB. Sinar Jaya,"Jl. Pahlawan Revolusi No.19 11, RT.11/RW.5, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470, Indonesia",4.5
"Duren Sawit, Jakarta Timur",Maju Aneka Building Materials Store,"Blok i14 8, Jl. Pd. Kelapa Raya No.8, RT.7/RW.9, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450, Indonesia",4.5
"Duren Sawit, Jakarta Timur",TB.Sinar matahari,"Jl. Duren Sawit No.7, RT.9/RW.11, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470, Indonesia",4.8
"Jatinegara, Jakarta Timur",Toko Bangunan VIVA,"Jl. Pancawarga III No.1, RT.8/RW.5, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410, Indonesia",4.7
"Jatinegara, Jakarta Timur",Toko Malaka Jaya,"Jl. Jatinegara Timur No.57, RT.1/RW.6, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310, Indonesia",4.6
"Jatinegara, Jakarta Timur",TB ACC Cawang,"Jl. Otista Raya No.435, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia",4.4
"Jatinegara, Jakarta Timur",Toko Bangunan Sumber Urip,"Nomor #80 Bidaracina Jalan Otista Raya, Jl. Otista Raya, RT.1/RW.5, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340, Indonesia",4.2
"Jatinegara, Jakarta Timur",Tb. Makmur Jaya,"Jl. Kebon Nanas Selatan I No.35, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340, Indonesia",4.6
"Jatinegara, Jakarta Timur",TB. Makmur,"Jl. Cipinang Jaya Raya No.361, RT.3/RW.7, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410, Indonesia",4.5
"Jatinegara, Jakarta Timur",TB Sinar Matahari,"Jl. Otto Iskandar Dinata No.3 No.16A, RT.2/RW.4, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340, Indonesia",4.7
"Jatinegara, Jakarta Timur",Toko Bangunan Sinar Surya,"Jl. H. Ten Raya No.11 5, RT.5/RW.1, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",4.6
"Kramat Jati, Jakarta Timur",TB. Ampar Jaya,"Jl. Batu Ampar 3 No.5A, RT.12/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520, Indonesia",4.8
"Kramat Jati, Jakarta Timur",Toko Bangunan Timbul Jaya,"Jl. Batu Ampar 3 No.12, RT.1/RW.4, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520, Indonesia",4.7
"Kramat Jati, Jakarta Timur",TB. Jaya Abadi,"3, Jl. Raya Tengah No.65, RT.3/RW.9, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540, Indonesia",4.8
"Kramat Jati, Jakarta Timur",CK Jaya Bangunan,"Jl. Raya Bogor No.30, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520, Indonesia",5.0
"Kramat Jati, Jakarta Timur",TB. Makmur Abadi,"Jl. Raya Inpres No.5 7, RT.2/RW.3, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540, Indonesia",4.7
"Kramat Jati, Jakarta Timur",TB. Cahaya Alam,"Jl. Dukuh V, RT.8/RW.3, Dukuh, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13550, Indonesia",4.7
"Kramat Jati, Jakarta Timur",Toko Jaya Remaja,"Jl. Batu Ampar 1 No.RT.11 11, RT.11/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520, Indonesia",4.6
"Kramat Jati, Jakarta Timur",Jaya Sejati,"Jl. Raya Bogor Km 20 No. 35 Kramat Jati Kramat Jati Jakarta Timur DKI, Jakarta, RT.11/RW.10, Kampung Tengah, Kramatjati, RT.11/RW.10, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540, Indonesia",4.9
"Makasar, Jakarta Timur",Toko bangunan Al Yamin,"Jl. Kerja Bakti, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570, Indonesia",4.3
"Makasar, Jakarta Timur",ALYAMIN Toko Bangunan,"PVVH+PHW, Jl. Jengki, RT.7/RW.12, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650, Indonesia",4.9
"Makasar, Jakarta Timur",TB. Tunas Keluarga,"Jl. Pusdiklat Depnaker No.22A 10, RT.10/RW.5, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570, Indonesia",4.8
"Makasar, Jakarta Timur",Tb Sinar Bangunan,"Jl. Cililitan Besar No.2, RT.12/RW.2, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650, Indonesia",4.3
"Makasar, Jakarta Timur",Toko bangunan Jaya Baru,"Jl. Kerja Bakti No.7, RT.7/RW.4, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570, Indonesia",4.4
"Makasar, Jakarta Timur",TB.HARAPAN JAYA 2,"Jl. Kerja Bakti No.47, RT.15/RW.2, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570, Indonesia",4.5
"Makasar, Jakarta Timur",TB. Flamboyant,"Pusdiklat, Jl. Pusdiklat Depnaker No.06 1, RT.18/RW.6, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560, Indonesia",4.9
"Makasar, Jakarta Timur",TB Toko Bangunan Material Mawar abadi 4 Halim,"Jl. Raya Jl. Raya Halim Perdanakusuma No.1, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610, Indonesia",4.6
"Matraman, Jakarta Timur",Toko Bahan Bangunan BASTA JAYA,"Jl. Kayu Manis Barat No.85 2, RT.2/RW.7, Kayu Manis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13130, Indonesia",4.4
"Matraman, Jakarta Timur",TB Arjuna Jaya,"Jl. Arjuna I No.8, Utan Kayu Sel., Matraman, Kota Jakarta Timur, Daerah, Khusus I, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13110, Indonesia",4.7
"Matraman, Jakarta Timur",TB Bangunan Jaya,"Jl. Pisangan Baru Tengah No.1, RT.8/RW.15, Pisangan Baru, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13110, Indonesia",4.4
"Matraman, Jakarta Timur",TB. SEDERHANA,"Jl. Kayu Manis Barat No.96 1, RT.1/RW.7, Kayu Manis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13130, Indonesia",4.6
"Matraman, Jakarta Timur",TB Prima Jaya Baru,"Jl. Kayu Manis Timur No.3, RT.5/RW.14, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13130, Indonesia",4.7
"Matraman, Jakarta Timur",TB. HARAPAN,"Jl. Galur Sari Timur No.7, RT.1/RW.5, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, Indonesia",4.7
"Matraman, Jakarta Timur",RISMA JAYA,"Jalan Kemuning Raya No. 12 RT. 1 RW. 6, Utan Kayu Utara, Matraman, RT.1/RW.6, Utan Kayu Utara, RT.1/RW.6, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120, Indonesia",4.3
"Matraman, Jakarta Timur",Toko Bangunan Sinar Surya,"Jl. H. Ten Raya No.11 5, RT.5/RW.1, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",4.6
"Pasar Rebo, Jakarta Timur",TB. Agung Bangunan,"Jl. Kalisari II No.77 4, RT.4/RW.11, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790, Indonesia",4.7
"Pasar Rebo, Jakarta Timur",TB Guna Bangunan,"Jl. Gongseng Raya No.9, RT.7/RW.7, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770, Indonesia",4.7
"Pasar Rebo, Jakarta Timur",TB. Sejahtera,"Jl. Kalisari Raya No.52, RT.3/RW.3, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790, Indonesia",4.8
"Pasar Rebo, Jakarta Timur",Toko Bangunan Hidup Makmur,"Jl. H.Remaih No.30 4, RT.4/RW.7, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780, Indonesia",4.5
"Pasar Rebo, Jakarta Timur",Toko Jaya Terus,"Jl. Gongseng Raya No.3 11, RT.3/RW.11, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770, Indonesia",4.0
"Pasar Rebo, Jakarta Timur",JAYA TERUS 2,"Jl. Gongseng Raya No.7, RT.6/RW.9, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780, Indonesia",4.3
"Pasar Rebo, Jakarta Timur",TB. CAHAYA MAKMUR,"Jl. Pertengahan No.61 13, RT.5/RW.7, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13370, Indonesia",4.7
"Pasar Rebo, Jakarta Timur",TB Sumber Jaya,"Jl. Raya Tengah, RT.5/RW.8, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760, Indonesia",4.4
"Pulo Gadung, Jakarta Timur",Toko Bangunan Sinar Surya,"Jl. H. Ten Raya No.11 5, RT.5/RW.1, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",4.6
"Pulo Gadung, Jakarta Timur",TB BERKAH,"Jl. Angkur No.2 17, RT.1/RW.3, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13210, Indonesia",4.9
"Pulo Gadung, Jakarta Timur",Building Materials Store Fajar Mas,"Jl. Pinang No. 27 Jati, RT.4/RW.8, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",4.5
"Pulo Gadung, Jakarta Timur",Bangun Bersama,"Jl. Pulo Nangka Timur No.27, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",4.3
"Pulo Gadung, Jakarta Timur",TB Bangun Bersama,"Jl. Rawamangun Muka Timur No.37 3, RT.3/RW.12, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",4.6
"Pulo Gadung, Jakarta Timur",Toko Bangunan Alam Jaya,"Jl. Pemuda No.43, RT.9/RW.3, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",3.6
"Pulo Gadung, Jakarta Timur",Toko Subuh,"Jl. Cipinang Baru No.27, RT.9/RW.3, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240, Indonesia",4.5
"Pulo Gadung, Jakarta Timur",TB Sinar Cahaya,"Jl. Balap Sepeda No.30 10, RT.10/RW.1, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",4.4
